prg,en
vumbaris,pail
k...eisnis,comb
k...eistuvc,cleaning brush
zukis,fish
lidc,pike
lukutis,bream
lasase,salmon
starkis,zander
anguris,eel
vilnis,burbot
esketris,sturgeon
smerlingis,loach
kalis,sheat-fish
zcbrc,vimba
linis,tench
azegis,perch
brunsc,roach
palasis,trout
silikc,herring
zaretc,carp
grundalis,gudgeon
malkis,smelt
blinge,leucaspius delineatus
dubelis,chub
skr...eislcs,flounder
rapis,caspian asp
rekis,crayfish
zuveikis,cod
med'an,forest
gudc,shrubbery
vangus,oak-forest
sile,waste-land
anzonis,oak-tree
gilc,acorn
bukus,beech
bukareisis,beech acorn
skebervis,hornbeam
skutis,maple
adlc,fir-tree
"pjausc, p'ausc",pine-tree
sakis,resin
iuvis,yew-tree
berzc,birch
lipc,lime-tree
aliskans,alder-tree
vitvan acc. fem.?,osier
glosis,weeping willow
apcvitve,shrub willow
apsc,asp
lagzdc,hazel- bush
ebalnc,apple-tree
eblc,apple
krausi,pear-tree
kraus'es,pears
slivaites,plums
visnaites,cherries
krikaites,bitter plums
visenc,marsh tea
skanulunks,mezereon
paustrc,wilderness
vinksne,elm
esis,ash-tree
gar'an,tree
saknis,root
vipis,branch
sakste,log
grandike,plank
kalmus,stub
trupis,wood- block
kvckc,fence-pole
kirne,bush
dagaaugis,summer sprout
ristc,switch
lukis,firewood spill
sk...elve,chip
spelaustis,shiver
sakstis,rind
lunkan,bast
vinis,ring
emelne,mistletoe
alnc,beast
tauris,aurochs
zambris,bison
braidis,elk
ragingis,deer
glumbc,doe
sirvis,roe-deer
paustakaikan,wild horse
klekis,bear
kaltiskis klekis,beehive-bear
vilkis,wolf
lapc,fox
sasnis,hare
vcvarc,squirrel
gailuks,ermine
mazuke,weasel
kaunc,marten
narikis,polecat
pauste kate,cat
luisis,lynx
udre,otter
bebrus,beaver
dukis,hamster
ebzdus,badger
leniks,bull
kurvis,ox
klentc,cow
verst'an,bull calf
ezuks,he-goat
ezc,she-goat
vezist'an,goatling
kamist'an,sheep
avins,ram
skaps,wether
crist'an,lamb
svinist'an,swine
kuilis,boar
nomaitis,fatling hog
sk'aurc,sow
parst'an,pig
dadan,milk
suris,cheese
anktan,butter
rugtan dadan,sour milk
raugus,ferment
surist'e,whey
sule,curdled milk
aswinan,koumiss
pedaminan,fresh milk
medis,hunter
sasnitinkle,noose for hare-hunting
kurte,barrier
med'enc,hunting
kurtis,greyhound
slidenikis,pointer
skaleniks,hound
sunis,dog
vuizis,watchdog
ragis,horn
pipelis,bird
preskars,wren
aukis,griffon
arelis,eagle
pelc,hen-harrier
"falks, valks",falcon
pelcmaigis,kestrel
gertevanags,hawk
spurglavanagis,sparrow-hawk
gervc,crane
gandarus,stork
gulbis,swan
"g...eisc, g...eizc",heron
zansi,goose
antis,duck
varnis,raven
varnc,crow
bukavarnc,jay
ketc,jackdaw
sarkc,magpie
kelavarnis,rook
salavis,nightingale
trezdc,ouzel
scsc,black- bird
piklc,field-thrush
geguzc,cuckoo
d...ekc,daw
vervirsis,lark
zinguris,goldfinch
ciziks,siskin
zvilc,finch
zigzdrc,bunting
sinike,titmouse
spurglis,sparrow
smituke,swallow
krikstine,earth-swallow
geniks,woodpecker
melate,green woodpecker
krakte,black woodpecker
aitagenis,little woodpecker
sarpis,nut-cracker
parpalis,hoopoe
z...eltmene,oriole
dr...enzc,landrail
s...ekis,white-throat
p...empc,peewit
scmene,plover
g...esnis,snipe
slankc,woodcock
varn'akape,shrike
vitvage,water-hen
g'auris,coot
kerke,diver
gegalis,little loon
starnitc,tern
p...elis,pigeon
k'aukaris,wood-pigeon
gertis,cock
gerte,hen
gertist'an,chicken
medeniks tatarvis,woodman
tatarvis,black grouse
laukagerte,partridge
brunete,hazel-hen
penpale,quail
kile,wagtail
apisargs,kingfisher
pevis,peafowl
angis,snake
angzdris,grass-snake
cstureite,lizard
peris,mole-cricket
glosane,slow-worm
gabave,toad
krupeilc,frog
grambelc,beetle
muse,fly
kusis,gnat
pisewis,dog's fly
slaiks,earthworm
kirmis,worm
bitc,bee
kamus,bumble-bee
vapsc,wasp
sμrsilis,hornet
zangis,ant
swctan,world
taute,country
krist'eniste,christianity
pagenibc,paganism
mcstan,town
kaimis,vilage
spar'us,grazing place
pintis,way
lunki,path
pesti,pasture
zardis,pen
